index,Model Number,Adj Model Number,imageURL,specURL,CadURL,RvtURL
407,RRD-6NA,RRD-6NA,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369225_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
408,RRD-8ANS,RRD-8ANS,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369225_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
409,RRD-8ANS,RRD-8ANS,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369225_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
410,RRD-8S-DV,RRD-8S-DV,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369225_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
411,RRD-F6AN-DV,RRD-F6AN-DV,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369225_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
412,RRD-H1RLD,RRD-H1RLD,http://www.lutron.com/ProductParentGroupImages/RadioRA2Family.png,http://www.lutron.com/TechnicalDocumentLibrary/Returning_Clear_Connect_RF_Devices_to_Factory_Default.pdf,,
413,RRD-H3BSRL,RRD-H3BSRL,http://www.lutron.com/ProductParentGroupImages/RadioRA2Family.png,http://www.lutron.com/TechnicalDocumentLibrary/Returning_Clear_Connect_RF_Devices_to_Factory_Default.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
414,RRD-H5BRL,RRD-H5BRL,http://www.lutron.com/ProductParentGroupImages/RadioRA2Family.png,http://www.lutron.com/TechnicalDocumentLibrary/Returning_Clear_Connect_RF_Devices_to_Factory_Default.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
415,RRD-H6BRL,RRD-H6BRL,http://www.lutron.com/ProductParentGroupImages/RadioRA2Family.png,http://www.lutron.com/TechnicalDocumentLibrary/Returning_Clear_Connect_RF_Devices_to_Factory_Default.pdf,http://www.lutron.com/TechnicalDocumentLibrary/RadioRA2.dwg,
416,RRD-HN6BRL,RRD-HN6BRL,http://www.lutron.com/ProductParentGroupImages/RadioRA2Family.png,http://www.lutron.com/TechnicalDocumentLibrary/369968_RRD.pdf,,
